label,score,seg,pose,rate,seg_d,pose_d,archive_bytes,crf,scale,film_grain,unsharp,kernel,tune,aq_mode,elapsed
ki=600_c35_fg22_u0.5_s0.48,2.103805285677373,0.5760532120475546,0.9589873413340159,0.5687647322958025,0.005760532120475546,0.09196567208388842,854182,35,0.48,22,0.5,9,0,0,160.85059309005737
ush=0.5_c35_fg22,2.11484848471763,0.5890486142986143,0.9805399591684257,0.5452599112505899,0.005890486142986143,0.0961458611526018,818882,35,0.45,22,0.5,9,0,0,119.19032573699951
ush=0.45_c35_fg22,2.1150774245866235,0.5890698074363172,0.9807477058997164,0.5452599112505899,0.005890698074363172,0.09618660626275566,818882,35,0.45,22,0.45,9,0,0,116.57455492019653
ush=0.6_c35_fg22,2.1165797164170588,0.589198658708483,0.9821211464579859,0.5452599112505899,0.00589198658708483,0.09645619463199485,818882,35,0.45,22,0.6,9,0,0,116.74299836158752
crf=35_fg=22,2.117009025987707,0.5888790720685696,0.9828700426685475,0.5452599112505899,0.005888790720685696,0.09660335207752724,818882,35,0.45,22,0.4,9,0,0,127.41188740730286
ush=0.7_c35_fg22,2.1174045602003213,0.5892359575179095,0.9829086914318221,0.5452599112505899,0.005892359575179095,0.0966109495692217,818882,35,0.45,22,0.7,9,0,0,118.90298652648926
ush=0.35_c35_fg22,2.117848050214173,0.5887332659137124,0.9838548730498707,0.5452599112505899,0.0058873326591371246,0.09679704112239772,818882,35,0.45,22,0.35,9,0,0,115.95135736465454
ush=0.3_c35_fg22,2.1203200054237525,0.5885179473940904,0.9865421467790724,0.5452599112505899,0.005885179473940904,0.09732654073714608,818882,35,0.45,22,0.3,9,0,0,119.95024633407593
ush=0.25_c35_fg22,2.123687559708718,0.588189883584467,0.9902377648736612,0.5452599112505899,0.00588189883584467,0.09805708309819844,818882,35,0.45,22,0.25,9,0,0,117.01378917694092
ki=120_c35_fg22_u0.5_s0.48,2.124053058835006,0.5860239830023299,0.9624619284717777,0.5755671473608986,0.005860239830023299,0.09263329637576134,864398,35,0.48,22,0.5,9,0,0,129.5611448287964
ki=240_c35_fg22_u0.5_s0.48,2.1253865645757037,0.5753097704922159,0.9780640018143554,0.5720127922691326,0.005753097704922159,0.09566091916451114,859060,35,0.48,22,0.5,9,0,0,131.15332913398743
fg=22,2.1303963696710175,0.5672751705860719,0.9449776985435089,0.6181435005414366,0.005672751705860719,0.08929828507445867,928340,33,0.45,22,0.4,9,0,0,135.96671795845032
ush=0.15_c35_fg22,2.132551026862818,0.5880830724878857,0.9992080431243423,0.5452599112505899,0.0058808307248788575,0.09984167134443775,818882,35,0.45,22,0.15,9,0,0,118.1138436794281
k=11_c35_fg22_u0.5_s0.48,2.1326193017013884,0.5762219053770725,0.9813256480245398,0.5750717482997758,0.005762219053770726,0.0963000027470783,863654,35,0.48,22,0.5,11,0,0,134.35876655578613
crf=36_fg=22,2.1327733255581434,0.6063130864640698,1.014306169133765,0.5121540699603088,0.0060631308646406975,0.10288170047428138,769163,36,0.45,22,0.4,9,0,0,119.04772329330444
ush=0.0_c35_fg22,2.1357159403473687,0.5880898528266698,1.002366176270109,0.5452599112505899,0.0058808985282666985,0.10047379513303592,818882,35,0.45,22,0.0,9,0,0,120.01008367538452
sc=0.48_c35_fg22_u0.5,2.1357553400412446,0.5764228145126253,0.9842607772288436,0.5750717482997758,0.005764228145126254,0.09687692775911273,863654,35,0.48,22,0.5,9,0,0,142.40614914894104
tune=1_c35_fg22_u0.5_s0.48,2.1357553400412446,0.5764228145126253,0.9842607772288436,0.5750717482997758,0.005764228145126254,0.09687692775911273,863654,35,0.48,22,0.5,9,1,0,137.11532163619995
aq=2_c35_fg22_u0.5_s0.48,2.1357553400412446,0.5764228145126253,0.9842607772288436,0.5750717482997758,0.005764228145126254,0.09687692775911273,863654,35,0.48,22,0.5,9,0,2,136.4759202003479
sc=0.5_c35_fg22_u0.5,2.136260558475395,0.5632926245064785,0.97620250097642,0.5967654329924961,0.005632926245064785,0.09529713229126173,896234,35,0.5,22,0.5,9,0,0,142.07671999931335
k=7_c35_fg22_u0.5_s0.48,2.1393898701207963,0.5760794908273965,0.9882386309936239,0.5750717482997758,0.005760794908273965,0.0976615591788152,863654,35,0.48,22,0.5,7,0,0,136.08866667747498
crf=31_fg=22,2.141731779545199,0.5326589096027116,0.8914220757285678,0.7176507942139201,0.005326589096027116,0.07946333170962286,1077782,31,0.45,22,0.4,9,0,0,136.80389308929443
k=5_c35_fg22_u0.5_s0.48,2.1465063992093465,0.5759506391283745,0.995484011781196,0.5750717482997758,0.005759506391283745,0.09909884177119845,863654,35,0.48,22,0.5,5,0,0,134.80236148834229
sc=0.46_c35_fg22_u0.5,2.1528412474847403,0.5893097094182547,1.0121936662917965,0.5513378717746891,0.005893097094182546,0.1024536018081229,828010,35,0.46,22,0.5,9,0,0,137.34351301193237
sc=0.42_c35_fg22_u0.5,2.1563080273920776,0.6269963755427549,1.0422045322696574,0.48710711957966507,0.006269963755427549,0.10861902870834153,731547,35,0.42,22,0.5,9,0,0,118.47546029090881
sc=0.43_c35_fg22_u0.5,2.1583964287774493,0.6223619425824534,1.0267549293353158,0.5092795568596802,0.006223619425824533,0.10542256849143693,764846,35,0.43,22,0.5,9,0,0,127.50098967552185
crf=32_fg=22,2.1588304827072298,0.5508796004578471,0.948054030193467,0.6598968520559154,0.005508796004578471,0.08988064441660754,991046,32,0.45,22,0.4,9,0,0,132.46299076080322
