codec,scale,width,height,crf,preset,gop,compressed_size,rate,segnet_dist,posenet_dist,segnet_score,posenet_score,rate_score,total_score,encode_time,decode_time,upscale_time,inference_time,total_time,status
svtav1,512x384,512,384,34,4,120,125465,0.02005008,0.00566925,0.46530810,0.5669,2.1571,0.5013,3.2253,1.57,0.70,0.51,1.96,4.93,ok
svtav1,512x384,512,384,34,4,180,126324,0.02018735,0.00546188,0.41616282,0.5462,2.0400,0.5047,3.0909,1.70,0.86,0.49,1.94,5.13,ok
svtav1,512x384,512,384,34,4,200,126448,0.02020717,0.00575211,0.38336891,0.5752,1.9580,0.5052,3.0384,1.65,0.82,0.50,2.06,5.20,ok
svtav1,512x384,512,384,35,4,60,115265,0.01842006,0.00573232,0.53210682,0.5732,2.3067,0.4605,3.3405,1.18,0.54,0.47,2.06,4.41,ok
svtav1,512x384,512,384,35,4,120,116698,0.01864906,0.00563054,0.58319515,0.5631,2.4149,0.4662,3.4442,1.49,0.62,0.48,1.90,4.69,ok
svtav1,512x384,512,384,35,4,180,117392,0.01875996,0.00568680,0.50844473,0.5687,2.2549,0.4690,3.2926,1.54,0.80,0.48,1.87,4.84,ok
svtav1,512x384,512,384,35,4,200,117651,0.01880135,0.00575073,0.51025581,0.5751,2.2589,0.4700,3.3040,1.51,0.70,0.50,1.93,4.82,ok
svtav1,512x384,512,384,36,4,60,107691,0.01720968,0.00601741,0.57499748,0.6017,2.3979,0.4302,3.4299,1.67,0.63,0.49,1.93,4.88,ok
svtav1,512x384,512,384,36,4,120,107153,0.01712371,0.00593877,0.65374404,0.5939,2.5568,0.4281,3.5788,1.41,0.56,0.52,1.90,4.52,ok
svtav1,512x384,512,384,36,4,180,107660,0.01720473,0.00591527,0.61452752,0.5915,2.4790,0.4301,3.5006,1.55,0.64,0.56,1.96,4.86,ok
svtav1,512x384,512,384,36,4,200,107259,0.01714065,0.00601639,0.61449742,0.6016,2.4789,0.4285,3.5091,1.72,0.76,0.52,1.93,5.08,ok
svtav1,512x384,512,384,37,4,60,101110,0.01615800,0.00589417,0.61111248,0.5894,2.4721,0.4039,3.4654,1.26,0.92,0.54,1.93,4.81,ok
svtav1,512x384,512,384,37,4,120,101021,0.01614378,0.00597636,0.52838981,0.5976,2.2987,0.4036,3.2999,1.51,0.71,0.53,1.95,4.86,ok
svtav1,512x384,512,384,37,4,180,101243,0.01617925,0.00595963,0.52801049,0.5960,2.2978,0.4045,3.2983,1.58,0.70,0.49,1.88,4.79,ok
svtav1,512x384,512,384,37,4,200,100622,0.01608001,0.00601746,0.52994579,0.6017,2.3021,0.4020,3.3058,1.91,0.74,0.51,1.97,5.28,ok
svtav1,512x384,512,384,38,4,60,95026,0.01518574,0.00616959,0.69794923,0.6170,2.6419,0.3796,3.6385,1.30,0.61,0.52,1.99,4.55,ok
svtav1,512x384,512,384,38,4,120,94729,0.01513828,0.00634491,0.54885483,0.6345,2.3428,0.3785,3.3557,1.29,0.64,0.55,1.96,4.57,ok
svtav1,512x384,512,384,38,4,180,94877,0.01516193,0.00623322,0.68415159,0.6233,2.6156,0.3790,3.6180,1.55,0.64,0.55,2.05,4.94,ok
svtav1,512x384,512,384,38,4,200,94196,0.01505310,0.00639511,0.61416584,0.6395,2.4782,0.3763,3.4941,1.56,0.67,0.54,2.02,4.94,ok
svtav1,512x384,512,384,39,4,60,89098,0.01423841,0.00634888,0.63069552,0.6349,2.5114,0.3560,3.5022,1.08,0.56,0.52,2.07,4.37,ok
svtav1,512x384,512,384,39,4,120,88856,0.01419974,0.00641978,0.59494263,0.6420,2.4391,0.3550,3.4361,1.25,0.50,0.46,2.11,4.45,ok
svtav1,512x384,512,384,39,4,180,88897,0.01420629,0.00643219,0.67176777,0.6432,2.5918,0.3552,3.5902,1.44,0.68,0.50,1.94,4.72,ok
svtav1,512x384,512,384,39,4,200,88212,0.01409682,0.00660914,0.61122370,0.6609,2.4723,0.3524,3.4856,1.71,0.46,0.48,2.08,4.87,ok
svtav1,512x384,512,384,40,4,60,82814,0.01323419,0.00648422,0.59747678,0.6484,2.4443,0.3309,3.4236,1.31,0.66,0.47,2.10,4.70,ok
svtav1,512x384,512,384,40,4,120,83600,0.01335979,0.00641510,0.71409607,0.6415,2.6723,0.3340,3.6478,1.45,0.76,0.47,2.01,4.84,ok
svtav1,512x384,512,384,40,4,180,83177,0.01329220,0.00661270,0.82438177,0.6613,2.8712,0.3323,3.8648,1.77,0.70,0.52,2.00,5.28,ok
svtav1,512x384,512,384,40,4,200,82462,0.01317793,0.00679937,0.80862522,0.6799,2.8436,0.3294,3.8530,1.74,0.67,0.56,2.03,5.15,ok
svtav1,512x384,512,384,41,4,60,77790,0.01243132,0.00659012,0.66428864,0.6590,2.5774,0.3108,3.5472,1.34,0.56,0.47,2.06,4.60,ok
svtav1,512x384,512,384,41,4,120,77785,0.01243052,0.00702662,0.48031050,0.7027,2.1916,0.3108,3.2050,1.53,0.78,0.51,1.92,4.88,ok
svtav1,512x384,512,384,41,4,180,77790,0.01243132,0.00654170,0.62369561,0.6542,2.4974,0.3108,3.4623,1.62,0.61,0.46,2.01,4.92,ok
svtav1,512x384,512,384,41,4,200,77110,0.01232265,0.00663549,0.62161618,0.6635,2.4932,0.3081,3.4648,1.64,0.62,0.53,1.93,4.86,ok
svtav1,522x392,522,392,26,4,60,274688,0.04389683,0.00407649,0.43630505,0.4076,2.0888,1.0974,3.5939,1.29,0.78,0.52,1.96,4.74,ok
svtav1,522x392,522,392,26,4,120,285525,0.04562865,0.00402232,0.37144196,0.4022,1.9273,1.1407,3.4702,1.67,0.71,0.49,1.94,5.01,ok
svtav1,522x392,522,392,26,4,180,286260,0.04574611,0.00400930,0.36565733,0.4009,1.9122,1.1437,3.4568,1.78,0.58,0.48,1.96,4.95,ok
svtav1,522x392,522,392,26,4,200,289302,0.04623224,0.00396001,0.34808514,0.3960,1.8657,1.1558,3.4175,1.68,0.55,0.48,1.98,4.86,ok
svtav1,522x392,522,392,27,4,60,245736,0.03927012,0.00431722,0.37488788,0.4317,1.9362,0.9818,3.3497,1.35,0.60,0.50,1.92,4.51,ok
svtav1,522x392,522,392,27,4,120,253833,0.04056407,0.00421214,0.39613453,0.4212,1.9903,1.0141,3.4256,1.39,0.52,0.55,1.93,4.55,ok
svtav1,522x392,522,392,27,4,180,255524,0.04083431,0.00418594,0.40632805,0.4186,2.0158,1.0209,3.4552,1.64,0.58,0.53,1.78,4.70,ok
svtav1,522x392,522,392,27,4,200,258415,0.04129631,0.00420675,0.38617769,0.4207,1.9651,1.0324,3.4182,1.56,1.00,0.48,1.58,4.76,ok
svtav1,522x392,522,392,28,4,60,223603,0.03573313,0.00449071,0.44445455,0.4491,2.1082,0.8933,3.4506,1.23,0.69,0.54,1.63,4.23,ok
svtav1,522x392,522,392,28,4,120,231894,0.03705809,0.00457621,0.41678184,0.4576,2.0415,0.9265,3.4256,1.52,0.51,0.48,1.68,4.34,ok
svtav1,522x392,522,392,28,4,180,231881,0.03705601,0.00446162,0.39018339,0.4462,1.9753,0.9264,3.3479,1.57,0.60,0.49,1.68,4.49,ok
svtav1,522x392,522,392,28,4,200,235190,0.03758481,0.00436976,0.35718244,0.4370,1.8899,0.9396,3.2665,1.45,0.58,0.51,1.71,4.40,ok
svtav1,522x392,522,392,29,4,60,206088,0.03293413,0.00480998,0.40842417,0.4810,2.0210,0.8234,3.3253,1.23,0.58,0.53,1.57,4.06,ok
svtav1,522x392,522,392,29,4,120,212205,0.03391166,0.00456116,0.42219573,0.4561,2.0547,0.8478,3.3586,1.45,0.61,0.48,1.50,4.17,ok
svtav1,522x392,522,392,29,4,180,213043,0.03404558,0.00472509,0.46118724,0.4725,2.1475,0.8511,3.4712,1.52,0.63,0.47,1.54,4.29,ok
svtav1,522x392,522,392,29,4,200,216078,0.03453059,0.00448278,0.42752022,0.4483,2.0677,0.8633,3.3792,1.49,0.50,0.48,1.59,4.18,ok
svtav1,522x392,522,392,30,4,60,191377,0.03058322,0.00469991,0.37209922,0.4700,1.9290,0.7646,3.1636,1.15,0.49,0.49,1.67,3.96,ok
svtav1,522x392,522,392,30,4,120,195846,0.03129740,0.00475581,0.43177626,0.4756,2.0779,0.7824,3.3359,1.30,0.53,0.49,1.69,4.15,ok
svtav1,522x392,522,392,30,4,180,197580,0.03157450,0.00476028,0.42782435,0.4760,2.0684,0.7894,3.3338,1.63,0.52,0.45,1.56,4.30,ok
svtav1,522x392,522,392,30,4,200,200206,0.03199415,0.00465693,0.40934643,0.4657,2.0232,0.7999,3.2888,1.40,0.54,0.49,1.55,4.12,ok
svtav1,522x392,522,392,31,4,60,175313,0.02801610,0.00483276,0.45284447,0.4833,2.1280,0.7004,3.3117,1.19,0.66,0.47,1.59,4.06,ok
svtav1,522x392,522,392,31,4,120,179281,0.02865021,0.00500229,0.47808197,0.5002,2.1865,0.7163,3.4030,1.38,0.84,0.55,1.53,4.44,ok
svtav1,522x392,522,392,31,4,180,181040,0.02893131,0.00480215,0.45402679,0.4802,2.1308,0.7233,3.3343,1.36,0.63,0.60,1.58,4.33,ok
svtav1,522x392,522,392,31,4,200,183627,0.02934472,0.00497070,0.43055323,0.4971,2.0750,0.7336,3.3057,1.28,0.46,0.47,1.65,3.99,ok
svtav1,522x392,522,392,32,4,60,159641,0.02551161,0.00508865,0.39916340,0.5089,1.9979,0.6378,3.1446,1.15,0.57,0.49,1.42,3.76,ok
svtav1,522x392,522,392,32,4,120,162037,0.02589451,0.00518499,0.51496494,0.5185,2.2693,0.6474,3.4351,1.30,0.49,0.51,1.41,3.86,ok
svtav1,522x392,522,392,32,4,180,164021,0.02621156,0.00495850,0.49292198,0.4958,2.2202,0.6553,3.3713,1.34,0.58,0.45,1.47,3.98,ok
svtav1,522x392,522,392,32,4,200,165112,0.02638591,0.00498428,0.47031105,0.4984,2.1687,0.6596,3.3267,1.30,0.43,0.52,1.52,3.90,ok
svtav1,522x392,522,392,33,4,60,147924,0.02363916,0.00514842,0.43143317,0.5148,2.0771,0.5910,3.1829,1.14,0.52,0.46,1.45,3.70,ok
