spec,pairs,K_total,sidecar_bytes,score,pose_term,delta,elapsed
H_repro:400_K7+200_K2,600,3200,15902,0.30545130468191767,0.07458985328107187,-0.026370789575571818,141.6321930885315
400_K7+200_K1,600,3000,15272,0.30525905406609055,0.07481709380571173,-0.026563040191398934,142.8343722820282
400_K7+150_K2+50_K1,600,3150,15845,0.3054185183262741,0.07459502088575627,-0.026403575931215395,143.36381888389587
400_K7+100_K2,500,3000,14936,0.30542796016621526,0.07520972851408553,-0.026394134091274224,119.1009726524353
350_K7+250_K2,600,2950,15054,0.3050282780137208,0.07473147500512266,-0.026793816243768698,145.62172436714172
450_K7+150_K2,600,3450,16854,0.30605651374330906,0.07456116461909097,-0.02576558051418043,143.5126814842224
200_K10+200_K5+200_K2,600,3400,16796,0.305321472689176,0.07386474338423897,-0.02650062156831351,143.71892070770264
100_K12+300_K6+200_K2,600,3400,16649,0.30527676545628935,0.07391791741746129,-0.02654532880120014,142.80271410942078
400_K7+100_K3+100_K1,600,3200,15903,0.30545186298634025,0.07458974572654137,-0.026370231271149236,144.7897047996521
