spec,sb_total,score,delta,seg_term,pose_term
no_seg_bz2,10400,0.29518960091601487,-0.007055107186170084,0.027217441936954856,0.07003892657396336
with_seg_bz2,15734,0.29873024441504037,-0.0035144636871445867,0.027205573976971206,0.07003974637701883
with_seg_lzma,14124,0.29765821150051364,-0.004586496601671319,0.027205573976971206,0.07003974637701883
