step,method,delta_bytes,delta_score,cum_bytes,cum_score,cum_pose,cum_seg,elapsed
1,pose_f1_K7_top400,13850,-0.0255112140409105,13850,0.30631850933947447,0.07681577138753992,0.029272292158566415,103.03677821159363
2,pose_f2_K3_top200_residual,4120,0.0010855326468537374,17970,0.3074040419863282,0.07515796491469967,0.02927229239139706,59.573660373687744
3,seg_f2_K5_top200,5371,0.0035737533026906076,23341,0.3109777952890188,0.07516047604319193,0.029267206128376223,202.24860262870789
4,pose_f1_dim0_K3_top200_residual,2153,0.0012895382532235322,25494,0.31226733354224234,0.07501641997034335,0.029267206128376223,59.44696116447449
5,pose_f1_K3_tail200,2861,-0.000326014064708835,28355,0.3119413194775335,0.07278538344075204,0.029267206128376223,60.09728813171387
