pair,base_mse,best_mse,improve,dx,dy,qx,qy
223,0.0007498087361454964,0.00047463408554904163,0.00027517465059645474,0.2,0.1,2,1
333,0.0005682820919901133,0.0002996478579007089,0.00026863423408940434,-2.6,0.0,-26,0
197,0.0027503292076289654,0.0024885451421141624,0.00026178406551480293,0.1,-0.7,1,-7
293,0.00047525850823149085,0.00024694332387298346,0.0002283151843585074,-2.9,0.2,-29,2
227,0.0004782734322361648,0.00025104760425165296,0.00022722582798451185,-2.2,-0.2,-22,-2
59,0.001753560733050108,0.0015357320662587881,0.00021782866679131985,0.6,0.0,6,0
274,0.0006709608132950962,0.0004699536948464811,0.00020100711844861507,-1.7,0.2,-17,2
191,0.0015403772704303265,0.0013424520147964358,0.00019792525563389063,0.2,0.1,2,1
268,0.0007304101600311697,0.0005544285522773862,0.00017598160775378346,-1.4,0.2,-14,2
152,0.0011894869385287166,0.0010512424632906914,0.0001382444752380252,-0.3,-0.1,-3,-1
278,0.0004945481196045876,0.0003792010247707367,0.00011534709483385086,-1.0,-0.2,-10,-2
554,0.00047663410077802837,0.0003618205082602799,0.00011481359251774848,-0.7,0.0,-7,0
118,0.0008877819636836648,0.0007766058552078903,0.00011117610847577453,1.2,0.1,12,1
512,0.0004811414401046932,0.0003735664067789912,0.00010757503332570195,2.7,-0.2,27,-2
537,0.0007782154716551304,0.0006769522442482412,0.0001012632274068892,-2.1,-0.1,-21,-1
304,0.000499962130561471,0.0003996799932792783,0.00010028213728219271,0.3,0.0,3,0
277,0.0009560901089571416,0.0008601375739090145,9.595253504812717e-05,-1.0,0.1,-10,1
96,0.000813920923974365,0.0007215021178126335,9.241880616173148e-05,0.4,-0.2,4,-2
345,0.00043024399201385677,0.00034030486131086946,8.993913070298731e-05,-0.8,0.2,-8,2
221,0.0011542871361598372,0.00106794701423496,8.634012192487717e-05,-0.6,0.2,-6,2
355,0.0005056130466982722,0.00043320644181221724,7.240660488605499e-05,-1.8,0.6,-18,6
106,0.002127312123775482,0.002057629870250821,6.968225352466106e-05,-0.1,0.2,-1,2
114,0.001271330169402063,0.0012039665598422289,6.7363609559834e-05,0.4,0.2,4,2
271,0.0004437370807863772,0.00037669483572244644,6.704224506393075e-05,-0.9,0.5,-9,5
510,0.0004092519811820239,0.0003442061133682728,6.50458678137511e-05,-1.5,0.0,-15,0
148,0.0018649138510227203,0.0018001222051680088,6.479164585471153e-05,0.0,0.2,0,2
511,0.0005288089159876108,0.00046402448788285255,6.478442810475826e-05,1.2,0.2,12,2
276,0.0009334138012491167,0.0008690722170285881,6.43415842205286e-05,-0.5,0.0,-5,0
137,0.000652856775559485,0.0005888455780223012,6.401119753718376e-05,0.2,0.0,2,0
102,0.0007139320368878543,0.0006524871569126844,6.14448799751699e-05,0.4,-0.2,4,-2
110,0.0010613619815558195,0.0010024417424574494,5.8920239098370075e-05,-0.1,0.1,-1,1
133,0.0009669960709288716,0.0009100957540795207,5.690031684935093e-05,-0.2,0.2,-2,2
425,0.0008830389706417918,0.0008263514610007405,5.668750964105129e-05,0.4,-0.2,4,-2
85,0.0008428583387285471,0.0007888429681770504,5.4015370551496744e-05,0.0,-0.2,0,-2
205,0.000946380605455488,0.0008926586015149951,5.372200394049287e-05,-0.1,0.2,-1,2
193,0.0013043286744505167,0.0012508135987445712,5.351507570594549e-05,-0.4,-0.1,-4,-1
180,0.0007981443195603788,0.0007453719154000282,5.277240416035056e-05,-0.3,-0.1,-3,-1
435,0.0011782620567828417,0.0011256401194259524,5.262193735688925e-05,0.3,-0.1,3,-1
103,0.0009206583490595222,0.0008694195421412587,5.1238806918263435e-05,-0.2,0.2,-2,2
172,0.0007439226610586047,0.0006932212272658944,5.0701433792710304e-05,0.1,0.0,1,0
158,0.0010285107418894768,0.0009811758063733578,4.7334935516119e-05,-0.1,-0.2,-1,-2
153,0.001767290523275733,0.0017218862194567919,4.5404303818941116e-05,-0.4,-0.2,-4,-2
275,0.0012152979616075754,0.0011710335966199636,4.426436498761177e-05,0.7,0.2,7,2
426,0.0008540261769667268,0.000810790981631726,4.3235195335000753e-05,0.2,0.2,2,2
284,0.0006927334470674396,0.0006499308510683477,4.2802595999091864e-05,0.3,0.2,3,2
549,0.0006743769044987857,0.0006317273364402354,4.264956805855036e-05,-1.0,0.0,-10,0
165,0.0015254782047122717,0.001482993713580072,4.2484491132199764e-05,0.4,-0.1,4,-1
104,0.000682025623973459,0.0006400125566869974,4.201306728646159e-05,0.2,0.1,2,1
86,0.0007591843022964895,0.0007172612240538001,4.192307824268937e-05,0.1,-0.1,1,-1
65,0.0009367651073262095,0.0008954476797953248,4.131742753088474e-05,-0.3,-0.1,-3,-1
300,0.00045640647294931114,0.0004175130743533373,3.889339859597385e-05,0.1,-0.1,1,-1
290,0.0007844343199394643,0.0007464680820703506,3.7966237869113684e-05,0.3,0.2,3,2
75,0.0011534936493262649,0.0011181212030351162,3.537244629114866e-05,-0.1,-0.2,-1,-2
169,0.000977492774836719,0.0009424210293218493,3.507174551486969e-05,-0.4,0.2,-4,2
120,0.001530634006485343,0.0014962311834096909,3.440282307565212e-05,0.3,0.1,3,1
61,0.0009993986459448934,0.0009657524060457945,3.364623989909887e-05,0.4,0.1,4,1
430,0.0008924046996980906,0.0008594881510362029,3.2916548661887646e-05,0.4,-0.1,4,-1
496,0.00116541120223701,0.0011328676482662559,3.2543553970754147e-05,0.1,0.2,1,2
67,0.0015269288560375571,0.0014948779717087746,3.205088432878256e-05,-0.4,-0.2,-4,-2
371,0.00044799671741202474,0.000417169532738626,3.082718467339873e-05,0.1,-0.1,1,-1
216,0.0004471633001230657,0.0004176109505351633,2.9552349587902427e-05,-0.2,0.0,-2,0
125,0.0016746565233916044,0.0016452851705253124,2.9371352866292e-05,0.1,0.2,1,2
309,0.0007478500483557582,0.00071858917362988,2.926087472587824e-05,0.4,-0.2,4,-2
420,0.0016449864488095045,0.001616068882867694,2.8917565941810608e-05,0.3,0.1,3,1
538,0.0004899051273241639,0.00046150432899594307,2.8400798328220844e-05,-2.5,0.2,-25,2
186,0.0009897612035274506,0.0009616596507839859,2.810155274346471e-05,0.2,0.2,2,2
509,0.0009396918467245996,0.0009116004221141338,2.8091424610465765e-05,0.3,-0.2,3,-2
117,0.001079832436516881,0.0010519189527258277,2.7913483791053295e-05,-0.3,0.0,-3,0
385,0.0006083553889766335,0.0005805242108181119,2.7831178158521652e-05,0.2,0.1,2,1
442,0.0004092842573300004,0.0003814600349869579,2.7824222343042493e-05,-1.4,-0.1,-14,-1
108,0.0021874611265957355,0.0021600795444101095,2.738158218562603e-05,0.0,-0.2,0,-2
