pair,base_mse,best_mse,improve,dx,dy,qx,qy
97,0.002051321789622307,0.001504826359450817,0.0005464954301714897,0.4,0.0,4,0
280,0.0009886586340144277,0.00045600574230775237,0.0005326528917066753,-0.2,0.0,-2,0
62,0.0015998382586985826,0.0010834026616066694,0.0005164355970919132,1.2,-0.2,12,-2
99,0.0015963481273502111,0.0011124354787170887,0.00048391264863312244,0.0,-0.1,0,-1
430,0.0013469562400132418,0.0009123805211856961,0.00043457571882754564,0.3,0.0,3,0
107,0.0012450693175196648,0.0008548659970983863,0.0003902033204212785,0.1,-0.1,1,-1
137,0.0010288041085004807,0.000643407111056149,0.00038539699744433165,-0.4,0.0,-4,0
114,0.0015959842130541801,0.001240427140146494,0.00035555707290768623,0.5,0.1,5,1
59,0.0018972661346197128,0.0015600452898070216,0.0003372208448126912,-0.6,-0.1,-6,-1
34,0.00047571928007528186,0.000175753710209392,0.00029996556986588985,-2.5,0.0,-25,0
333,0.0005931939231231809,0.0003005265898536891,0.0002926673332694918,-2.6,0.0,-26,0
223,0.0007498087361454964,0.00047478906344622374,0.00027501967269927263,0.2,0.1,2,1
197,0.002792184241116047,0.0025185183621942997,0.0002736658789217472,0.4,-0.7,4,-7
293,0.0005116305546835065,0.00024364957062061876,0.00026798098406288773,-2.9,0.2,-29,2
436,0.0009527676738798618,0.0006856063846498728,0.00026716128922998905,-0.1,0.1,-1,1
116,0.0011327126994729042,0.0008657539146952331,0.0002669587847776711,-0.9,-0.1,-9,-1
304,0.0006719428929500282,0.00041172732017003,0.0002602155727799982,0.3,0.0,3,0
311,0.0005643985932692885,0.0003238442586734891,0.00024055433459579945,0.2,0.0,2,0
513,0.00043543335050344467,0.00020822514488827437,0.0002272082056151703,-1.9,-0.1,-19,-1
227,0.0004782734322361648,0.0002518098917789757,0.00022646354045718908,-2.2,-0.2,-22,-2
547,0.0006901384331285954,0.00046981818741187453,0.00022032024571672082,-2.7,0.1,-27,1
509,0.0010740194702520967,0.0008582669543102384,0.0002157525159418583,0.6,0.0,6,0
295,0.0008177330601029098,0.0006093453848734498,0.00020838767522946,-0.1,0.0,-1,0
404,0.0009147156961262226,0.0007078311173245311,0.00020688457880169153,1.4,0.1,14,1
274,0.0006709608132950962,0.0004698527918662876,0.00020110802142880857,-1.7,0.2,-17,2
191,0.0015403772704303265,0.0013422271003946662,0.00019815017003566027,0.2,0.1,2,1
235,0.000445719895651564,0.00026539701502770185,0.00018032288062386215,-2.9,0.4,-29,4
104,0.0008089360781013966,0.0006327571463771164,0.00017617893172428012,0.4,0.1,4,1
64,0.002057037316262722,0.0018810464534908533,0.0001759908627718687,-0.1,0.0,-1,0
