scheme,sb_mask,sb_rgb,sb_total,score,delta_vs_bz2
bz2_l9,1866,6804,8670,0.30224470810218496,0.0
zlib_l9,1912,7104,9016,0.3024750952999652,0.0002303871977802352
zopfli,1832,6990,8822,0.3023459186630595,0.00010121056087453173
