pair,qx,qy,model_improve,actual_improve
197,1,-7,0.00026178406551480293,0.00027432222850620747
223,2,1,0.00027517465059645474,0.000244608789216727
293,-29,2,0.0002283151843585074,0.0002299463376402855
227,-22,-2,0.00022722582798451185,0.0002188498037867248
274,-17,2,0.00020100711844861507,0.00018889474449679255
191,2,1,0.00019792525563389063,0.00018749525770545006
268,-14,2,0.00017598160775378346,0.00017776730237528682
554,-7,0,0.00011481359251774848,0.00011933315545320511
59,6,0,0.00021782866679131985,0.00011581904254853725
152,-3,-1,0.0001382444752380252,0.00010389788076281548
345,-8,2,8.993913070298731e-05,9.746389696374536e-05
278,-10,-2,0.00011534709483385086,8.677801815792918e-05
96,4,-2,9.241880616173148e-05,7.235375232994556e-05
512,27,-2,0.00010757503332570195,6.91903114784509e-05
158,-1,-2,4.7334935516119e-05,6.870209472253919e-05
221,-6,2,8.634012192487717e-05,6.438232958316803e-05
86,1,-1,4.192307824268937e-05,6.371620111167431e-05
277,-10,1,9.595253504812717e-05,6.138952448964119e-05
75,-1,-2,3.537244629114866e-05,5.050061736255884e-05
85,0,-2,5.4015370551496744e-05,5.0119764637202024e-05
193,-4,-1,5.351507570594549e-05,4.664773587137461e-05
169,-4,2,3.507174551486969e-05,4.469649866223335e-05
104,2,1,4.201306728646159e-05,4.233431536704302e-05
110,-1,1,5.8920239098370075e-05,4.064140375703573e-05
412,2,0,2.4451379431411624e-05,3.65830201189965e-05
118,12,1,0.00011117610847577453,3.633106825873256e-05
65,-3,-1,4.131742753088474e-05,3.5120174288749695e-05
300,1,-1,3.889339859597385e-05,3.487226786091924e-05
133,-2,2,5.690031684935093e-05,3.4591881558299065e-05
84,-3,0,2.6591471396386623e-05,3.381352871656418e-05
371,1,-1,3.082718467339873e-05,3.3610034734010696e-05
216,-2,0,2.9552349587902427e-05,3.26343288179487e-05
195,3,-7,2.182088792324066e-05,3.249762812629342e-05
120,3,1,3.440282307565212e-05,3.18742822855711e-05
95,0,-1,6.347487214952707e-06,3.1170493457466364e-05
201,0,-1,2.6873720344156027e-05,3.0366121791303158e-05
125,1,2,2.9371352866292e-05,3.0014547519385815e-05
509,3,-2,2.8091424610465765e-05,2.7964182663708925e-05
500,-1,-1,2.226000651717186e-05,2.7613015845417976e-05
385,2,1,2.7831178158521652e-05,2.5418295990675688e-05
130,-1,1,1.7177779227495193e-05,2.486049197614193e-05
173,1,1,2.5741755962371826e-05,2.4177657905966043e-05
97,1,0,2.417690120637417e-05,2.3381784558296204e-05
175,-2,0,1.950608566403389e-05,2.069829497486353e-05
174,-4,2,1.619703834876418e-05,2.0207487978041172e-05
114,4,2,6.7363609559834e-05,2.0107603631913662e-05
