spec,n_pairs,K_max,n_accepted,sidecar_bytes,score,pose_term,delta,elapsed
verified_K1_top100,100,1,79,499,0.32092507722550934,0.10030289736704075,-0.010919905137963704,112.55306577682495
verified_K3_top100,100,3,158,806,0.319592747469025,0.09875851947861157,-0.012252234894448044,263.02458477020264
verified_K1_top200,200,1,162,921,0.3153093599637179,0.09439771049612698,-0.016535622399755145,225.61149907112122
