pair,base_mse,best_mse,improve,dx,dy,qx,qy
478,0.00032522273249924183,4.8270419938489795e-05,0.00027695231256075203,1.9,-0.1,19,-1
223,0.0007498087361454964,0.00047396554145962,0.00027584319468587637,0.2,0.1,2,1
333,0.0005682820919901133,0.0002997320843860507,0.00026855000760406256,-2.6,0.0,-26,0
197,0.0027503292076289654,0.0024874238297343254,0.00026290537789463997,0.1,-0.7,1,-7
293,0.00047525850823149085,0.00024691817816346884,0.000228340330068022,-2.9,0.2,-29,2
227,0.0004782734322361648,0.0002529798075556755,0.0002252936246804893,-2.2,-0.2,-22,-2
59,0.001753560733050108,0.001537976204417646,0.00021558452863246202,0.6,0.0,6,0
274,0.0006709608132950962,0.0004699687415268272,0.00020099207176826894,-1.7,0.2,-17,2
191,0.0015403772704303265,0.001342701492831111,0.0001976757775992155,0.2,0.1,2,1
291,0.00036366889253258705,0.00016697318642400205,0.000196695706108585,0.6,0.0,6,0
268,0.0007304101600311697,0.0005542150465771556,0.00017619511345401406,-1.4,0.2,-14,2
334,0.0003146457893308252,0.00015675529721193016,0.00015789049211889505,-2.6,0.2,-26,2
13,0.0002073729847325012,5.078467802377418e-05,0.00015658830670872703,-2.3,0.0,-23,0
34,0.0003266402054578066,0.0001850365661084652,0.0001416036393493414,-2.2,0.2,-22,2
152,0.0011894869385287166,0.0010518289636820555,0.0001376579748466611,-0.3,-0.1,-3,-1
514,0.0003329363826196641,0.00019801279995590448,0.0001349235826637596,-1.1,0.7,-11,7
217,0.0003404193266760558,0.00020656600827351213,0.00013385331840254366,-2.9,0.2,-29,2
12,0.00014598260167986155,2.1365609427448362e-05,0.00012461699225241318,-1.5,0.0,-15,0
278,0.0004945481196045876,0.0003784030850511044,0.00011614503455348313,-1.0,-0.2,-10,-2
269,0.0002750649000518024,0.0001592297339811921,0.00011583516607061028,-2.3,-0.2,-23,-2
296,0.000232152349781245,0.0001166474394267425,0.0001155049103545025,-0.1,0.2,-1,2
261,0.00019667767628561705,8.170247019734234e-05,0.00011497520608827472,1.0,0.1,10,1
554,0.00047663410077802837,0.0003617983020376414,0.00011483579874038696,-0.7,0.0,-7,0
118,0.0008877819636836648,0.0007768141804262996,0.00011096778325736523,1.2,0.1,12,1
597,0.00018986128270626068,7.93226936366409e-05,0.00011053858906961977,-2.1,-0.5,-21,-5
9,0.00014633237151429057,3.778283644351177e-05,0.0001085495350707788,-2.5,0.1,-25,1
512,0.0004811414401046932,0.00037353846710175276,0.00010760297300294042,2.7,-0.2,27,-2
537,0.0007782154716551304,0.000676801661029458,0.00010141381062567234,-2.1,-0.1,-21,-1
304,0.000499962130561471,0.00039943138835951686,0.00010053074220195413,0.3,0.0,3,0
277,0.0009560901089571416,0.0008601189474575222,9.597116149961948e-05,-1.0,0.1,-10,1
346,0.00023497157962992787,0.00013949608546681702,9.547549416311085e-05,-1.1,1.0,-11,10
45,0.00011596580588957295,2.432581823086366e-05,9.163998765870929e-05,-2.5,0.0,-25,0
345,0.00043024399201385677,0.0003400412970222533,9.02026949916035e-05,-0.8,0.2,-8,2
235,0.0003529897367116064,0.000264554051682353,8.843568502925336e-05,-2.9,0.4,-29,4
237,0.0002248329110443592,0.00013646172010339797,8.837119094096124e-05,-2.0,0.5,-20,5
96,0.000813920923974365,0.0007266324828378856,8.728844113647938e-05,0.4,-0.2,4,-2
221,0.0011542871361598372,0.001068096375092864,8.619076106697321e-05,-0.6,0.2,-6,2
228,0.000342128420015797,0.0002583856403362006,8.374277967959642e-05,0.4,0.2,4,2
355,0.0005056130466982722,0.0004332764947321266,7.233655196614563e-05,-1.8,0.6,-18,6
399,0.0004094864707440138,0.00033850804902613163,7.097842171788216e-05,0.0,0.1,0,1
106,0.002127312123775482,0.00205783499404788,6.9477129727602e-05,-0.1,0.2,-1,2
271,0.0004437370807863772,0.0003768541500903666,6.688293069601059e-05,-0.9,0.5,-9,5
114,0.001271330169402063,0.0012046277988702059,6.670237053185701e-05,0.4,0.2,4,2
510,0.0004092519811820239,0.0003430775832384825,6.617439794354141e-05,-1.5,0.0,-15,0
276,0.0009334138012491167,0.0008673776756040752,6.603612564504147e-05,-0.5,0.0,-5,0
148,0.0018649138510227203,0.0017997322138398886,6.518163718283176e-05,0.0,0.2,0,2
137,0.000652856775559485,0.0005887186271138489,6.413814844563603e-05,0.2,0.0,2,0
263,0.0004065076354891062,0.00034295598743483424,6.355164805427194e-05,-1.3,0.1,-13,1
511,0.0005288089159876108,0.00046659779036417603,6.221112562343478e-05,1.2,0.2,12,2
102,0.0007139320368878543,0.0006523911142721772,6.154092261567712e-05,0.4,-0.2,4,-2
110,0.0010613619815558195,0.0010027375537902117,5.8624427765607834e-05,-0.1,0.1,-1,1
347,0.00020753555872943252,0.00014990390627644956,5.763165245298296e-05,-2.8,0.0,-28,0
133,0.0009669960709288716,0.0009098245063796639,5.717156454920769e-05,-0.2,0.2,-2,2
425,0.0008830389706417918,0.0008269083919003606,5.6130578741431236e-05,0.4,-0.2,4,-2
596,0.00019694733782671392,0.0001409874967066571,5.595984112005681e-05,-1.1,-0.5,-11,-5
85,0.0008428583387285471,0.0007887876126915216,5.407072603702545e-05,0.0,-0.2,0,-2
205,0.000946380605455488,0.0008929762407205999,5.340436473488808e-05,-0.1,0.2,-1,2
193,0.0013043286744505167,0.0012509266380220652,5.340203642845154e-05,-0.4,-0.1,-4,-1
435,0.0011782620567828417,0.0011253950651735067,5.2866991609334946e-05,0.3,-0.1,3,-1
180,0.0007981443195603788,0.0007458130712620914,5.233124829828739e-05,-0.3,-0.1,-3,-1
354,0.00033253917354159057,0.00028120778733864427,5.1331386202946305e-05,-2.7,-0.1,-27,-1
172,0.0007439226610586047,0.0006928660441190004,5.105661693960428e-05,0.1,0.0,1,0
103,0.0009206583490595222,0.0008697300218045712,5.0928327254951e-05,-0.2,0.2,-2,2
417,0.00014766695676371455,9.846128523349762e-05,4.920567153021693e-05,-0.4,0.2,-4,2
339,0.0001858492469182238,0.0001376675209030509,4.81817260151729e-05,0.4,0.0,4,0
32,0.00011051390902139246,6.297291110968217e-05,4.754099791171029e-05,-0.8,0.6,-8,6
361,0.00019624611013568938,0.0001489120622863993,4.733404784929007e-05,0.7,-0.5,7,-5
158,0.0010285107418894768,0.0009812219068408012,4.728883504867554e-05,-0.1,-0.2,-1,-2
275,0.0012152979616075754,0.0011710978578776121,4.42001037299633e-05,0.7,0.2,7,2
284,0.0006927334470674396,0.0006494561093859375,4.3277337681502104e-05,0.3,0.2,3,2
549,0.0006743769044987857,0.000631596427410841,4.2780477087944746e-05,-1.0,0.0,-10,0
104,0.000682025623973459,0.0006392555078491569,4.277011612430215e-05,0.2,0.1,2,1
153,0.001767290523275733,0.001724586240015924,4.270428325980902e-05,-0.4,-0.2,-4,-2
426,0.0008540261769667268,0.0008113643852993846,4.2661791667342186e-05,0.2,0.2,2,2
165,0.0015254782047122717,0.0014832033775746822,4.2274827137589455e-05,0.4,-0.1,4,-1
65,0.0009367651073262095,0.000895765726454556,4.099938087165356e-05,-0.3,-0.1,-3,-1
311,0.00035237506381236017,0.0003127658274024725,3.960923640988767e-05,0.1,0.0,1,0
473,0.00016183106345124543,0.00012270917068235576,3.9121892768889666e-05,0.2,0.1,2,1
340,0.00023612301447428763,0.0001970492594409734,3.907375503331423e-05,0.7,0.1,7,1
300,0.00045640647294931114,0.0004177673836238682,3.863908932544291e-05,0.1,-0.1,1,-1
290,0.0007844343199394643,0.000746594974771142,3.7839345168322325e-05,0.3,0.2,3,2
214,0.0002098452387144789,0.0001721066510071978,3.773858770728111e-05,0.0,0.1,0,1
86,0.0007591843022964895,0.0007217236561700702,3.7460646126419306e-05,0.1,-0.1,1,-1
481,0.00013542722444981337,9.801587293623015e-05,3.741135151358321e-05,1.4,-0.1,14,-1
348,0.00017184665193781257,0.00013460576883517206,3.724088310264051e-05,-1.4,0.2,-14,2
312,0.00024771783500909805,0.00021259358618408442,3.512424882501364e-05,0.3,-0.2,3,-2
120,0.001530634006485343,0.0014960159314796329,3.4618075005710125e-05,0.3,0.1,3,1
169,0.000977492774836719,0.0009430426871404052,3.445008769631386e-05,-0.4,0.2,-4,2
264,7.642484706593677e-05,4.218094909447245e-05,3.424389797146432e-05,-1.3,0.1,-13,1
215,0.0003807710891123861,0.0003466628259047866,3.410826320759952e-05,0.3,0.0,3,0
569,7.068626291584224e-05,3.685179399326444e-05,3.38344689225778e-05,2.0,-0.1,20,-1
61,0.0009993986459448934,0.0009658359922468662,3.3562653698027134e-05,0.4,0.1,4,1
75,0.0011534936493262649,0.001120181055739522,3.331259358674288e-05,-0.1,-0.2,-1,-2
496,0.00116541120223701,0.0011322175851091743,3.319361712783575e-05,0.1,0.2,1,2
430,0.0008924046996980906,0.0008593735983595252,3.303110133856535e-05,0.4,-0.1,4,-1
360,0.0002819955116137862,0.0002495286171324551,3.246689448133111e-05,0.0,0.1,0,1
67,0.0015269288560375571,0.0014948784373700619,3.205041866749525e-05,-0.4,-0.2,-4,-2
513,0.00024350301828235388,0.0002114801900461316,3.202282823622227e-05,-1.5,0.2,-15,2
371,0.00044799671741202474,0.000416803261032328,3.119345637969673e-05,0.1,-0.1,1,-1
391,0.00032465672120451927,0.0002935790689662099,3.1077652238309383e-05,-2.4,0.0,-24,0
309,0.0007478500483557582,0.0007168324082158506,3.10176401399076e-05,0.4,-0.2,4,-2
415,0.00021702723461203277,0.0001866623351816088,3.0364899430423975e-05,-0.1,0.0,-1,0
314,0.0003893342218361795,0.00035908963764086366,3.0244584195315838e-05,0.4,-0.2,4,-2
216,0.0004471633001230657,0.0004178436938673258,2.9319606255739927e-05,-0.2,0.0,-2,0
125,0.0016746565233916044,0.001645355485379696,2.930103801190853e-05,0.1,0.2,1,2
420,0.0016449864488095045,0.0016159918159246445,2.899463288486004e-05,0.3,0.1,3,1
509,0.0009396918467245996,0.0009111745748668909,2.8517271857708693e-05,0.3,-0.2,3,-2
564,9.743248665472493e-05,6.911666423548013e-05,2.8315822419244796e-05,0.4,-0.1,4,-1
536,0.0003991652629338205,0.00037086865631863475,2.8296606615185738e-05,2.0,-0.1,20,-1
538,0.0004899051273241639,0.0004617595695890486,2.814555773511529e-05,-2.5,0.2,-25,2
117,0.001079832436516881,0.0010519132483750582,2.7919188141822815e-05,-0.3,0.0,-3,0
385,0.0006083553889766335,0.0005804800894111395,2.787529956549406e-05,0.2,0.1,2,1
442,0.0004092842573300004,0.00038145348662510514,2.7830770704895258e-05,-1.4,-0.1,-14,-1
525,0.0003068968071602285,0.00027919915737584233,2.7697649784386158e-05,-0.6,0.0,-6,0
134,0.0019059879705309868,0.0018783174455165863,2.7670525014400482e-05,0.0,0.2,0,2
186,0.0009897612035274506,0.0009626401006244123,2.7121102903038263e-05,0.2,0.2,2,2
249,0.00024050241336226463,0.00021382950944826007,2.6672903914004564e-05,-1.3,-0.5,-13,-5
173,0.0007912368746474385,0.0007646706653758883,2.656620927155018e-05,0.1,0.1,1,1
72,0.0004961428930982947,0.000469674589112401,2.6468303985893726e-05,-0.4,-0.1,-4,-1
428,0.00022477435413748026,0.00019834515114780515,2.6429202989675105e-05,0.4,0.1,4,1
201,0.0008772361325100064,0.0008508210885338485,2.6415043976157904e-05,0.0,-0.1,0,-1
151,0.0010291551006957889,0.001002753502689302,2.6401598006486893e-05,0.0,-0.2,0,-2
108,0.0021874611265957355,0.0021611733827739954,2.628774382174015e-05,0.0,-0.2,0,-2
73,0.0009000419522635639,0.0008745937375351787,2.544821472838521e-05,0.0,0.2,0,2
195,0.0009639720665290952,0.0009386467281728983,2.532533835619688e-05,0.3,-0.7,3,-7
434,0.0009843565057963133,0.0009591846610419452,2.5171844754368067e-05,0.4,-0.2,4,-2
315,0.00044721871381625533,0.0004222204443067312,2.4998269509524107e-05,0.4,-0.2,4,-2
470,5.606247214018367e-05,3.109367025899701e-05,2.4968801881186664e-05,-2.1,-0.1,-21,-1
323,0.0003036213747691363,0.0002787270350381732,2.489433973096311e-05,0.3,-0.2,3,-2
412,0.00042299932101741433,0.00039842509431764483,2.4574226699769497e-05,0.2,0.0,2,0
183,0.0011315299198031425,0.0011070182081311941,2.4511711671948433e-05,0.2,-0.2,2,-2
97,0.001555456779897213,0.0015310541493818164,2.4402630515396595e-05,0.1,0.0,1,0
82,0.0004850041586905718,0.00046098706661723554,2.4017092073336244e-05,1.5,-0.5,15,-5
529,0.0003986494557466358,0.00037473742850124836,2.3912027245387435e-05,-1.0,0.0,-10,0
437,0.00047384979552589357,0.00044994510244578123,2.3904693080112338e-05,0.6,-0.1,6,-1
105,0.0021232273429632187,0.00209951214492321,2.3715198040008545e-05,0.2,-0.1,2,-1
226,0.0001539714285172522,0.00013039779150858521,2.3573637008666992e-05,0.4,0.2,4,2
84,0.0010959100909531116,0.001072348328307271,2.3561762645840645e-05,-0.3,0.0,-3,0
583,8.469342719763517e-05,6.132995622465387e-05,2.3363470972981304e-05,1.2,0.1,12,1
383,7.25856953067705e-05,4.980102676199749e-05,2.2784668544773012e-05,0.0,0.1,0,1
540,0.000374605820979923,0.00035200544516555965,2.260037581436336e-05,0.6,0.5,6,5
301,0.0004191386979073286,0.00039667764212936163,2.2461055777966976e-05,0.4,0.1,4,1
266,9.951073297997937e-05,7.718826236668974e-05,2.2322470613289624e-05,-0.9,-0.1,-9,-1
