spec,pairs,K_total,sidecar_bytes,score,seg_term,pose_term,delta,elapsed
mask_K5_top600,600,3000,5869,0.5022552583376532,0.029553732330289982,0.27778530051886313,0.17040179892088558,42.88220238685608
mask_K10_top600,600,6000,10413,0.59632228454866,0.02968936615313093,0.36869102982404184,0.2644688251318924,42.21536731719971
mask_K20_top600,600,12000,20263,0.7169498620424658,0.029914009229590494,0.48253525355313465,0.3850964026256982,41.457725286483765
mask_K5_top300,300,1500,3462,0.4344845280589348,0.02941809854625414,0.21175292652434563,0.1026310686421672,25.802852153778076
mask_K10_top300,300,3000,6009,0.49702714272343784,0.029492697018819552,0.2725249999626811,0.16517368330667026,25.84911012649536
mask_K20_top300,300,6000,11210,0.5748548620332758,0.02958594518713653,0.3467963386890137,0.24300140261650827,25.85775637626648
mask_K5_res200_+rgb,200,1000,17670,0.3960787601514173,0.0293850377202034,0.16391969543691906,0.06422530073464972,25.329055547714233
mask_K10_res200_+rgb,200,2000,19593,0.4501080087321092,0.029450311597126227,0.2166032233738342,0.11825454931534163,25.376561880111694
mask_K20_res200_+rgb,200,4000,23251,0.5129191844910179,0.0295223668217659,0.27690663185758235,0.18106572507425034,25.40243697166443
