spec,sb_total,score,pose_term,delta_vs_baseline
baseline,8670,0.30224470810218496,0.0005801341145221765,0
a2_3chan_250_K5+250_K2,9122,0.3032378836060608,0.07658154156068098,0.0009931755038758427
