spec,sb_total,score,delta,n_x2,n_cmaes,n_pattern,n_pose
per_pair_bz2,10441,0.29530807263044184,-0.006936635471743113,355,37,84,134
per_pair_lzma,9272,0.294529683514242,-0.007715024587942931,355,37,84,134
