cfg,warp_bytes,rgb_bytes,total_bytes,seg_term,pose_term,score,delta_vs_x5,elapsed_s
warp_only,528,0,528,0.027339512365870178,0.07032345608751521,0.28902284127325995,-0.0018822143903423072,0
x5_cached_rgb_reference,0,6684,6684,0.027339512365870178,0.07031827187275762,0.29311668477392244,0.00221162911032019,0
warp_rgb_top100_K3+400_K1,528,3540,4068,0.027339512365870178,0.06934399725154083,0.2904005231313381,-0.0005045325322641792,136.78778219223022
warp_rgb_top500_K1x2iter,528,4394,4922,0.027339512365870178,0.06925139508683884,0.2908765645126024,-2.8491150999843118e-05,313.09021258354187
warp_rgb_top250_K5+250_K2,528,6789,7317,0.027339512365870178,0.06919909520172521,0.2924189968202164,0.0015139411566141292,153.9843327999115
