cfg,sb_rgb,sb_total_bz2,sb_lzma,score_bz2,score_lzma,seg_term,pose_term
rgb_top500_K2single,4385,8083,6860,0.29318679683612736,0.29237245133645895,0.027168274857103825,0.06962808476831092
rgb_top500_K1x2iter,4431,8129,6896,0.2931555363908517,0.292334532301652,0.027168274857103825,0.06956619481119163
rgb_top700_K1x2iter,5147,8845,7508,0.2935541533789585,0.2926638999586342,0.027168274857103825,0.06948805678886301
rgb_top250_K3+250_K1,4530,8228,7236,0.2933513765705762,0.292690844489079,0.027168274857103825,0.06969611495455705
rgb_top100_K3+400_K1,3581,7279,6260,0.29280617914010043,0.2921276688668689,0.027168274857103825,0.06978281767059427
rgb_top250_K5+250_K2,6895,10593,9444,0.2947216051311608,0.2939565331940234,0.027168274857103825,0.06949158709100772
