spec,rgb_tiers,sb_mask,sb_rgb,sb_total,score,pose_term,delta_baseline,delta_vs_rgb_only,elapsed
rgb_200_K5,"[(0, 200, 5)]",1863,5833,7696,0.30476541321158557,0.07931798548622554,-0.027067701269514022,-0.0002677012695140209,48.34613537788391
rgb_200_K5+200_K2,"[(0, 200, 5), (200, 400, 2)]",1863,8125,9988,0.3032208661558215,0.07624728970990548,-0.02861224832527809,-0.0018122483252780881,91.73049092292786
rgb_250_K5+250_K2,"[(0, 250, 5), (250, 500, 2)]",1863,9865,11728,0.30313414305715874,0.07500197203281012,-0.028698971423940844,-0.0018989714239408435,115.59776854515076
rgb_300_K5+300_K2,"[(0, 300, 5), (300, 600, 2)]",1863,11610,13473,0.3037456273788247,0.07445153248127793,-0.028087487102274877,-0.0012874871022748764,135.76431369781494
rgb_350_K6+250_K2,"[(0, 350, 6), (350, 600, 2)]",1863,13836,15699,0.3045031276449218,0.07372683071772507,-0.027329986836177766,-0.0005299868361777656,136.26689338684082
rgb_350_K7_only,"[(0, 350, 7)]",1863,12557,14420,0.3048128869591165,0.07488822363296306,-0.027020227521983076,-0.00022022752198307474,81.11020565032959
rgb_250_K7+250_K2,"[(0, 250, 7), (250, 500, 2)]",1863,12195,14058,0.3037490829622712,0.07406546057714797,-0.02808403151882838,-0.0012840315188283775,115.0635998249054
