base,n_pairs,active,best_k,pred_net,pred_d_pose,pred_bytes_lzma,final_score_delta,final_pose_term,final_bytes_lzma,elapsed_s
x5rgb,80,58,43,-0.000114912025412344,-0.00024009350859931222,188,7.373050404738124e-05,0.07026682358388457,188,8.43004322052002
x5rgb,250,184,158,-0.0005522113653447697,-0.0008105646391561722,388,0.000573185219134853,0.07063310355595254,388,21.729874849319458
x5,250,207,178,-0.0016417415849259791,-0.0019187389094248025,416,-0.000546530379786303,0.07173672212408833,416,21.718981981277466
x5,600,486,485,-0.002729334857327147,-0.003219407046825065,736,0.000305677880291233,0.07237583351889329,736,55.27601218223572
x5rgb,600,391,267,-0.0009569820314822572,-0.001340516788480628,576,0.0014638068088606015,0.07139985667968796,576,52.34102272987366
