spec,block_size,tier_specs,pairs,K_total,sidecar_bytes,score,pose_term,delta,elapsed
350_K7+250_K2_block1,1,"[(0, 350, 7), (350, 600, 2)]",600,2950,15084,0.30510445242793577,0.07473257268791382,-0.026772742792383786,136.32340598106384
350_K7+250_K2_block2,2,"[(0, 350, 7), (350, 600, 2)]",600,2950,15610,0.30885506845598826,0.07813294690662405,-0.023022126764331297,220.3659725189209
350_K7+250_K2_block3,3,"[(0, 350, 7), (350, 600, 2)]",600,2950,14889,0.3052572006915981,0.07501516344743508,-0.026619994528721436,359.4625506401062
350_K7+250_K2_block4,4,"[(0, 350, 7), (350, 600, 2)]",600,2950,14841,0.3054588752009414,0.07524879918652819,-0.02641832001937816,547.8421576023102
