K,n_iter,sidecar_bytes,score,seg_term,pose_term,rate_term,delta,elapsed_sec
20,50,203,0.3301130944064945,0.029310439247637987,0.1096591864987466,0.19114346866010987,-0.0018889716257285416,149.24724006652832
50,50,393,0.32901583174093235,0.029310439247637987,0.10843541063209128,0.1912699818612031,-0.0029862342912906903,129.94309973716736
100,50,674,0.3283251802512144,0.029310439247637987,0.10755765277654598,0.19145708822703042,-0.0036768857810086653,139.2209870815277
200,50,1213,0.3250904599861708,0.029310439247637987,0.10396403453576952,0.19181598620276327,-0.006911606046052232,144.01108646392822
