spec,n_patches,hidden,mlp_bytes,sb_total,score,delta,elapsed
N10_h16,10,16,1088,2954,0.31358510344894985,0.011340395346764898,89.19999980926514
N20_h16,20,16,1768,3634,0.3140861262681228,0.011841418165937867,114.67540884017944
N30_h24,30,24,3792,5658,0.31546197151975053,0.013217263417565572,143.13851141929626
