spec,K_total,sb_rgb,sb_total,score,pose_term,delta,d_vs_best,elapsed
ch_200_K6+200_K3,1800,6784,8599,0.30208067492479207,0.07604554023032416,-0.02973972385995033,-0.001039723859950329,99.59558176994324
ch_250_K6+250_K3,2250,8217,10032,0.301919852565334,0.07493054199104195,-0.029900546219408408,-0.0012005462194084084,125.69957685470581
ch_200_K5+200_K2,1400,5668,7483,0.3025909544706983,0.07729891836791468,-0.029229444314044117,-0.0005294443140441175,98.40605640411377
ch_250_K5+250_K2,1750,6804,8619,0.30210331442577243,0.07605486255224202,-0.02971708435896997,-0.0010170843589699698,125.4957845211029
ch_300_K7+300_K3,3000,10496,12311,0.3024564311130221,0.07394962798456468,-0.02936396767172028,-0.0006639676717202815,173.08001852035522
