spec,K,N_templates,sb_total,score,pose_term,delta,elapsed
K8_N10,8,10,3579,0.30918241766710297,0.08621693179887932,0.006937709564918015,3400.9607310295105
K16_N10,16,10,4014,0.30862620461815277,0.08537107010532097,0.0063814965159678105,174.5235493183136
K16_N20,16,20,4554,0.30769457866613353,0.08407988031861578,0.005449870563948578,247.25908589363098
K32_N10,32,10,4653,0.3073245452261985,0.08364392684232164,0.005079837124013553,195.0375838279724
