spec,n_patched_pairs,K_total,sidecar_bytes,score,pose_term,delta_vs_base,delta_vs_baseline,elapsed
A_dim125_K3_res200,600,3550,18446,0.3091495364069694,0.07658566273728114,0.004104541150116214,-0.022686952688833084,45.15768241882324
A2_dim125_K5_res200,600,3950,20677,0.3114504560102357,0.07740105101613186,0.006405460753382497,-0.0203860330855668,44.75529980659485
B_perdim_K3_res200,600,3550,18497,0.3078315665517234,0.07523373407542597,0.0027865712948701993,-0.0240049225440791,62.997668743133545
C_shared_dict_64,600,2950,15148,0.3051029249857748,0.07473505414348348,5.7929728921601864e-05,-0.026733564110027697,0
C_shared_dict_128,600,2950,15197,0.3051355520744778,0.07473505414348348,9.055681762459855e-05,-0.0267009370213247,0
C_shared_dict_256,600,2950,15182,0.305125564190181,0.07473505414348348,8.056893332780701e-05,-0.02671092490562149,0
D_fullpose_K3_res200,600,3550,18435,0.3057841975661969,0.073227648344993,0.0007392023093437117,-0.026052291529605587,44.82336068153381
