round,n_mask,K_mask,sb_mask,sb_rgb,sb_total,score,pose_term,delta,elapsed
2,389,1,1853,9837,11690,0.3030649110644744,0.07497330135299161,-0.02888544487280248,602.6577169895172
4,391,414,1933,9815,11748,0.30290315631187115,0.07477038361079175,-0.02904719962540575,849.3081586360931
