scheme,sb_mask,sb_rgb,sb_total,score,delta_vs_bz2
bz2_baseline,1866,6804,8670,0.30224470810218496,0
zstd_l3,1940,7233,9173,0.3025796351556054,0.0003349270534204196
zstd_l9,1903,7063,8966,0.3024418023523091,0.00019709425012415238
zstd_l15,1795,7064,8859,0.302370555444325,0.00012584734214005078
zstd_l22,1794,6996,8790,0.3023246111765595,7.990307437455435e-05
zstd_l22_dict,1862,6011,9921,0.3030776976525407,0.0008329895503557672
