method,K,radius,sidecar_bytes,score,seg_term,pose_term,rate_term,model_bytes,delta_score
baseline,0,0,0,0.33207047340913676,0.029513042187318206,0.1115491319291925,0.19100829929262608,54078,0
pose_f1_n50_K7,7,0,16598,0.30694759587328374,0.029513042187318206,0.07537432748941766,0.20206022619654787,54078,-0.025122877535853017
pose_f1_n100_K7,7,0,17884,0.30665924029957486,0.029513042187318206,0.07422967730199366,0.202916520810263,54078,-0.025411233109561893
pose_f1_K5_n100_K5,5,0,13384,0.3056961611279091,0.029513042187318206,0.07626296341937763,0.19992015552121323,54078,-0.026374312281227663
seg_f2_K10,10,0,22647,0.34719995500258916,0.0295240623721232,0.1115878856264821,0.20608800700398386,54078,0.015129481593452399
seg_f2_K20,20,0,45054,0.36216930784106155,0.029530844107891124,0.11163055516657804,0.2210079085665924,54078,0.030098834431924792
